name,developer,publisher,release date,rating,24hour-peak-user,
Arma 2: DayZ Mod,Store Name Arma II: DayZ Mod,"Developer
Bohemia Interactive","February 21, 2013 (7 years ago)",? 79,158,
Mount & Blade,TaleWorlds Entertainment,TaleWorlds Entertainment,NULL,? 88,176,
Call of Duty: Ghosts,Store Name Call of Duty®: Ghosts,"Developer
Infinity Ward","November 5, 2013 ??18:00:00 UTC (6 years ago)",? 58,140,
Magicka,Arrowhead Game Studios,Paradox Interactive,NULL,? 88,156,
"WARRIORS OROCHI 4 - ?�双OROCHI�?""KOEI TECMO GAMES CO."," LTD.""","KOEI TECMO GAMES CO., LTD.","October 16, 2018 ??06:53:00 UTC (about a year ago)",? 83,176,
ARK: Survival Of The Fittest,Studio Wildcard,Studio Wildcard,"August 29, 2017 ??17:16:00 UTC (2 years ago)",? 59,183,
Iratus: Lord of the Dead,Unfrozen,Daedalic Entertainment,"July 24, 2019 ??15:58:32 UTC (6 months ago)",? 81,152,
The Incredible Adventures of Van Helsing: Final Cut,NeocoreGames,NeocoreGames,"November 6, 2015 ??18:02:27 UTC (4 years ago)",? 72,140,
Zero-K,Zero-K Team,Zero-K Team,"April 27, 2018 ??07:57:10 UTC (2 years ago)",? 87,140,
Castle Story,Sauropod Studio,Sauropod Studio,"August 17, 2017 ??21:20:23 UTC (2 years ago)",? 55,155,
Monopoly Plus,Store Name MONOPOLY® PLUS,"Developer
Ubisoft Pune","September 7, 2017 ??16:52:44 UTC (2 years ago)",? 45,245,
NBA 2K16,Visual Concepts,2K,"September 29, 2015 ??16:00:00 UTC (4 years ago)",? 50,172,
Portal Stories: Mel,Prism Game Studios Ltd.,Prism Game Studios Ltd.,"June 25, 2015 ??15:31:00 UTC (5 years ago)",? 93,142,
Strange Brigade,Rebellion,Rebellion,NULL,? 79,149,
?�世??��,Store Name ?�世传奇,"Developer
?�世传奇","November 19, 2019 ??05:06:21 UTC (2 months ago)",??41,167,
Block N Load,Toadman Interactive,Toadman Interactive,"April 30, 2015 ??21:00:00 UTC (5 years ago)",? 75,167,
Zombie Army Trilogy,Rebellion,Rebellion,"March 6, 2015 ??09:51:08 UTC (5 years ago)",? 84,168,
The Legend of Heroes: Trails of Cold Steel II,Nihon Falcom,XSEED Games,"February 14, 2018 ??17:39:30 UTC (2 years ago)",? 90,153,
Return of the Obra Dinn,Lucas Pope,3909,"October 18, 2018 ??17:01:25 UTC (about a year ago)",? 93,138,
Skater XL,Store Name Skater XL - The Ultimate Skateboarding Game,"Developer
Easy Day Studios Pty Ltd","December 19, 2018 ??08:03:17 UTC (about a year ago)",? 79,161,
Dark Messiah of Might & Magic Single Player,Store Name Dark Messiah of Might & Magic,"Developer
Arkane Studios","October 25, 2006 ??07:00:00 UTC (13 years ago)",? 89,142,
Stronghold Crusader Extreme HD,Last Known Name Stronghold Crusader Extreme,"Developer
Firefly Studios","July 1, 2008 ??07:00:00 UTC (12 years ago)",137,152,
?�女?�旗 Banner of the Maid,Azure Flame Studio,CE-Asia,"May 28, 2019 ??06:01:00 UTC (8 months ago)",? 86,233,
?�世??��,Store Name ?�世传奇,"Developer
?�世传奇","November 19, 2019 ??05:06:21 UTC (2 months ago)",??41,167,
Burnout Paradise: The Ultimate Box,Criterion Games,Electronic Arts,NULL,? 84,152,
Winning Post 9,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","March 28, 2019 ??00:40:49 UTC (10 months ago)",??33,245,
Monopoly Plus,Store Name MONOPOLY® PLUS,"Developer
Ubisoft Pune","September 7, 2017 ??16:52:44 UTC (2 years ago)",? 45,245,
Descenders,RageSquid,No More Robots,"May 7, 2019 ??14:51:49 UTC (8 months ago)",? 88,137,
Breathedge,RedRuins Softworks,RedRuins Softworks,"September 13, 2018 ??11:45:40 UTC (about a year ago)",? 88,136,
Bulletstorm: Full Clip Edition,People Can Fly,Gearbox Publishing,"April 7, 2017 ??17:00:00 UTC (3 years ago)",? 80,171,
Train Valley 2,Alexey Davydov,Flazm,"April 15, 2019 ??15:37:01 UTC (9 months ago)",? 86,144,
Pool 2D - Poolians,Poolians.com,ThankGame.com,"December 11, 2019 ??00:36:51 UTC (about a month ago)",??68,162,
Dungeon of the Endless,"Store Name Dungeon of the Endless??""Developer",,,,,
"AMPLITUDE Studios""","October 27, 2014 ??17:03:00 UTC (5 years ago)",? 85,158,,,
Heat,Code}{atch,Code}{atch,"January 30, 2019 ??19:29:33 UTC (12 months ago)",? 51,163,
Sacred 2 Gold,Ascaron,Deep Silver,NULL,? 68,135,
Niche - a genetics survival game,Stray Fawn Studio,Stray Fawn Studio,"September 21, 2017 ??17:00:53 UTC (2 years ago)",? 84,142,
Christmas Tina -泡沫?�景-,Store Name 泡沫?�景,"Developer
Nekoday","January 3, 2020 ??03:50:49 UTC (9 days ago)",? 89,252,
Scythe: Digital Edition,The Knights of Unity,Asmodee Digital,"September 5, 2018 ??10:00:00 UTC (about a year ago)",? 77,164,
Eternal Battlefield,"Shenzhen Huanjing Technology Co.,Ltd","Shenzhen Huanjing Technology Co.,Ltd","December 23, 2019 ??09:30:13 UTC (19 days ago)",??70,160,
Magicka,Arrowhead Game Studios,Paradox Interactive,NULL,? 88,156,
The Room Three,Fireproof Games,Fireproof Games,"November 13, 2018 ??09:15:51 UTC (about a year ago)",? 92,135,
The Drone Racing League Simulator,The Drone Racing League,The Drone Racing League,"November 1, 2017 ??17:25:00 UTC (2 years ago)",? 74,148,
"WARRIORS OROCHI 4 - ?�双OROCHI�?""KOEI TECMO GAMES CO."," LTD.""","KOEI TECMO GAMES CO., LTD.","October 16, 2018 ??06:53:00 UTC (about a year ago)",? 83,176,
Pro Evolution Soccer 2016,Konami Digital Entertainment,Konami Digital Entertainment,"September 16, 2015 ??23:00:00 UTC (4 years ago)",133,142,
SOMA,Frictional Games,Frictional Games,"September 22, 2015 ??06:45:20 UTC (4 years ago)",? 93,140,
?�女?�旗 Banner of the Maid,Azure Flame Studio,CE-Asia,"May 28, 2019 ??06:01:00 UTC (8 months ago)",? 86,233,
X3: Terran Conflict,Egosoft,Egosoft,"October 16, 2008 ??07:00:00 UTC (11 years ago)",? 82,140,
Stronghold Legends,Store Name Stronghold Legends: Steam Edition,"Developer
FireFly Studios","September 15, 2016 ??16:00:00 UTC (3 years ago)",? 75,133,
fpsVR,SBSoftLab,SBSoftLab,"September 11, 2018 ??14:22:09 UTC (about a year ago)",??90,138,
Sunless Skies,Store Name SUNLESS SKIES,"Developer
Failbetter Games","January 31, 2019 ??17:59:36 UTC (11 months ago)",? 82,144,
Strange Brigade,Rebellion,Rebellion,NULL,? 79,149,
PickCrafter,Fiveamp,Fiveamp,"December 14, 2017 ??08:02:32 UTC (2 years ago)",? 79,133,
Energy Engine PC Live Wallpaper,3dm_live_wallpapers,3dm_live_wallpapers,"May 10, 2019 ??18:27:49 UTC (8 months ago)",??70,151,
RAGE,id Software,Bethesda Softworks,NULL,? 74,138,
Alan Wake,Remedy Entertainment,Remedy Entertainment,NULL,? 89,136,
Zombie Army Trilogy,Rebellion,Rebellion,"March 6, 2015 ??09:51:08 UTC (5 years ago)",? 84,168,
Fun with Ragdolls: The Game,Jadon Barnes,Jadon Barnes,"September 17, 2019 ??12:19:00 UTC (4 months ago)",? 84,131,
METAL GEAR RISING: REVENGEANCE,PlatinumGames,Konami Digital Entertainment,"January 9, 2014 ??18:00:00 UTC (6 years ago)",? 90,169,
Second Galaxy,Zilong Game Limited,Zilong Game Limited,"September 11, 2019 ??11:32:15 UTC (4 months ago)",? 47,161,
The Guild II: Renaissance,Store Name The Guild II Renaissance,"Developer
Rune Forge","July 28, 2010 ??15:55:00 UTC (9 years ago)",? 77,193,
Vestaria Saga I: War of the Scions,Vestaria Project,DANGEN Entertainment,"December 27, 2019 ??18:00:15 UTC (15 days ago)",??81,120,
Sniper Ghost Warrior 2,Store Name Sniper: Ghost Warrior 2,"Developer
City Interactive","March 12, 2013 (7 years ago)",? 70,209,
Tricolour Lovestory,HL-Galgame,SakuraGame,"September 21, 2017 ??03:01:35 UTC (2 years ago)",? 88,191,
HunieCam Studio,HuniePot,HuniePot,"April 4, 2016 ??16:28:21 UTC (4 years ago)",? 81,108,
Strange Brigade,Rebellion,Rebellion,NULL,? 79,176,
Monster Sanctuary,Moi Rai Games,Team17 Digital Ltd,"August 28, 2019 ??17:00:45 UTC (5 months ago)",? 90,98,
Grand Theft Auto III,Rockstar Games,Rockstar Games,"January 4, 2008 ??17:57:00 UTC (12 years ago)",? 84,176,
One Hour One Life,Jason Rohrer,Jason Rohrer,"November 8, 2018 ??19:00:23 UTC (about a year ago)",? 74,119,
Fun with Ragdolls: The Game,Jadon Barnes,Jadon Barnes,"September 17, 2019 ??12:19:00 UTC (4 months ago)",? 84,148,
Crawl,Powerhoof,Powerhoof,"April 11, 2017 ??08:00:00 UTC (3 years ago)",? 92,104,
DYNASTY WARRIORS 9,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","February 13, 2018 ??08:07:00 UTC (2 years ago)",? 28,167,
Arma 2: DayZ Mod,Store Name Arma II: DayZ Mod,"Developer
Bohemia Interactive","February 21, 2013 (7 years ago)",? 79,173,
LEGO® MARVEL's Avengers,Traveller's Tales,Warner Bros. Interactive Entertainment,"January 26, 2016 ??17:50:00 UTC (4 years ago)",? 81,226,
Kingdom Rush Origins,Ironhide Game Studio,Ironhide Game Studio,"October 17, 2018 ??23:31:02 UTC (about a year ago)",? 89,152,
Styx: Master of Shadows,Cyanide Studio,Focus Home Interactive,"October 7, 2014 ??15:29:00 UTC (5 years ago)",? 80,221,
WORLD OF FINAL FANTASY,Store Name WORLD OF FINAL FANTASY®,"Developer
Square Enix","November 21, 2017 ??17:00:24 UTC (2 years ago)",? 78,124,
Secrets of Grindea,Pixel Ferrets,Pixel Ferrets,"July 13, 2015 ??15:58:13 UTC (5 years ago)",? 88,110,
Dawn of Discovery - Venice,Store Name Dawn of Discovery?? Venice,"Developer
Blue Byte","February 25, 2010 ??17:00:00 UTC (10 years ago)",??81,96,
SOMA,Frictional Games,Frictional Games,"September 22, 2015 ??06:45:20 UTC (4 years ago)",? 93,140,
Hand of Fate 2,Defiant Development,Defiant Development,"November 7, 2017 ??15:57:03 UTC (2 years ago)",? 83,155,
FINAL FANTASY XIII-2,Store Name FINAL FANTASY® XIII-2,"Developer
Square Enix","December 11, 2014 ??16:58:00 UTC (5 years ago)",? 59,100,
PickCrafter,Fiveamp,Fiveamp,"December 14, 2017 ??08:02:32 UTC (2 years ago)",? 79,135,
LEGO® City Undercover,Traveller's Tales,TT Games,"April 4, 2017 ??17:31:00 UTC (3 years ago)",? 74,480,
Total Annihilation,Cavedog Entertainment,Wargaming.net,"December 18, 2015 ??08:54:05 UTC (4 years ago)",? 90,150,
DUSK,David Szymanski,New Blood Interactive,"December 10, 2018 ??19:01:00 UTC (about a year ago)",? 94,128,
Descenders,RageSquid,No More Robots,"May 7, 2019 ??14:51:49 UTC (8 months ago)",? 88,152,
Bastion,Supergiant Games,Supergiant Games,"August 16, 2011 ??17:00:00 UTC (8 years ago)",? 94,107,
Disgaea PC,"Nippon Ichi Software, Inc.","NIS America, Inc.","February 24, 2016 ??22:00:00 UTC (4 years ago)",? 84,104,
Iratus: Lord of the Dead,Unfrozen,Daedalic Entertainment,"July 24, 2019 ??15:58:32 UTC (6 months ago)",? 81,165,
Cube Escape: Paradox,Rusty Lake,Rusty Lake,"September 20, 2018 ??11:25:11 UTC (about a year ago)",? 92,143,
GameMaker: Studio,YoYo Games Ltd.,YoYo Games Ltd.,"October 2, 2012 ??17:45:00 UTC (7 years ago)",87,120,
Automobilista,Reiza Studios,Reiza Studios,"August 24, 2016 ??21:45:51 UTC (3 years ago)",? 84,175,
Strategic Command WWII: World at War,Fury Software,Slitherine Ltd.,"December 6, 2018 ??14:09:00 UTC (about a year ago)",??76,179,
Princess & Conquest,Towerfag,Critical Bliss,"October 10, 2019 ??10:07:25 UTC (3 months ago)",??84,108,
Crawl,Powerhoof,Powerhoof,"April 11, 2017 ??08:00:00 UTC (3 years ago)",? 92,104,
Strategic Command WWII: World at War,Fury Software,Slitherine Ltd.,"December 6, 2018 ??14:09:00 UTC (about a year ago)",??76,179,
Portal Stories: Mel,Prism Game Studios Ltd.,Prism Game Studios Ltd.,"June 25, 2015 ??15:31:00 UTC (5 years ago)",? 93,153,
Disgaea PC,"Nippon Ichi Software, Inc.","NIS America, Inc.","February 24, 2016 ??22:00:00 UTC (4 years ago)",? 84,104,
Tricolour Lovestory,HL-Galgame,SakuraGame,"September 21, 2017 ??03:01:35 UTC (2 years ago)",? 88,191,
Midas Gold Plus,Holyday Studios,Holyday Studios,"February 1, 2017 ??11:59:00 UTC (3 years ago)",? 84,114,
Arma 2: DayZ Mod,Store Name Arma II: DayZ Mod,"Developer
Bohemia Interactive","February 21, 2013 (7 years ago)",? 79,173,
LEGO® MARVEL's Avengers,Traveller's Tales,Warner Bros. Interactive Entertainment,"January 26, 2016 ??17:50:00 UTC (4 years ago)",? 81,226,
FINAL FANTASY XIII-2,Store Name FINAL FANTASY® XIII-2,"Developer
Square Enix","December 11, 2014 ??16:58:00 UTC (5 years ago)",? 59,100,
WORLD OF FINAL FANTASY,Store Name WORLD OF FINAL FANTASY®,"Developer
Square Enix","November 21, 2017 ??17:00:24 UTC (2 years ago)",? 78,124,
The Guild II: Renaissance,Store Name The Guild II Renaissance,"Developer
Rune Forge","July 28, 2010 ??15:55:00 UTC (9 years ago)",? 77,193,
?��???Bloody Spell,?�龙游戏,?�龙游戏,"January 16, 2019 ??06:58:42 UTC (12 months ago)",? 81,148,
Bean Battles,SOG,SOG,"August 22, 2018 ??18:56:50 UTC (about a year ago)",? 88,85,
Mages of Mystralia,Borealys Games,Borealys Games,"May 18, 2017 ??13:59:18 UTC (3 years ago)",? 83,127,
Vestaria Saga I: War of the Scions,Vestaria Project,DANGEN Entertainment,"December 27, 2019 ??18:00:15 UTC (15 days ago)",??81,120,
Dream Daddy: A Dad Dating Simulator,Game Grumps,Game Grumps,"July 20, 2017 ??16:46:00 UTC (2 years ago)",? 86,84,
LEGO® Jurassic World,TT Games Ltd,Warner Bros. Interactive Entertainment,"June 12, 2015 ??16:00:00 UTC (5 years ago)",? 83,296,
HunieCam Studio,HuniePot,HuniePot,"April 4, 2016 ??16:28:21 UTC (4 years ago)",? 81,108,
Hyperdimension Neptunia Re;Birth1,"IDEA FACTORY Co., Ltd.","Idea Factory International, Inc.","January 29, 2015 ??23:55:00 UTC (5 years ago)",? 92,99,
Football Manager Touch 2018,Sports Interactive,SEGA,"November 9, 2017 ??23:00:00 UTC (2 years ago)",??59,185,
Dark Egypt,GDNomad,Infernal Dream,"February 8, 2017 ??04:47:49 UTC (3 years ago)",??39,84,
Runes of Magic,Runewaker Entertainment,"Gameforge 4D GmbH??""August 29"," 2018 ??07:55:31 UTC (about a year ago)""",??54,246,
Coloring Game,L. Stotch,L. Stotch,"April 12, 2019 ??12:06:00 UTC (9 months ago)",? 89,136,
DUSK,David Szymanski,New Blood Interactive,"December 10, 2018 ??19:01:00 UTC (about a year ago)",? 94,128,
Horizon Chase Turbo,Aquiris Game Studio,Aquiris Game Studio,"May 15, 2018 ??07:37:00 UTC (2 years ago)",? 88,132,
Book of Demons,Thing Trunk,Thing Trunk,"December 14, 2018 ??17:00:00 UTC (about a year ago)",? 90,163,
The Wild Eight,HypeTrain Digital,HypeTrain Digital,"October 3, 2019 ??18:06:17 UTC (3 months ago)",? 71,146,
Styx: Master of Shadows,Cyanide Studio,Focus Home Interactive,"October 7, 2014 ??15:29:00 UTC (5 years ago)",? 80,221,
Tales of Symphonia,BANDAI NAMCO Entertainment Inc.,BANDAI NAMCO Entertainment,"February 1, 2016 ??23:00:00 UTC (4 years ago)",? 79,108,
Zero Caliber VR,XREAL Games,XREAL Games,"November 9, 2018 ??21:08:13 UTC (about a year ago)",? 79,168,
Secrets of Grindea,Pixel Ferrets,Pixel Ferrets,"July 13, 2015 ??15:58:13 UTC (5 years ago)",? 88,110,
HD Poker,Store Name HD Poker: Texas Hold'em,"Developer
Z4","September 15, 2018 ??01:00:43 UTC (about a year ago)",? 76,172,
Evenicle,Alicesoft,MangaGamer,"October 10, 2018 ??15:56:00 UTC (about a year ago)",??87,114,
Crystal Maidens,Super Hippo Studios,Nutaku Publishing,"June 3, 2019 ??15:57:16 UTC (7 months ago)",??62,141,
RealityCapture,Capturing Reality,Capturing Reality,"November 2, 2016 ??17:01:00 UTC (3 years ago)",??64,89,
PUBG: Test Server,Supported Systems,"Last Record Update 25 days ago (December 17, 2019 ??19:51:07 UTC)",NULL,82,150,
Defense Grid: The Awakening,Hidden Path Entertainment,Hidden Path Entertainment,"December 8, 2008 ??21:00:00 UTC (11 years ago)",? 92,104,
Supremacy 1914,Bytro Labs GmbH,Bytro Labs GmbH,"July 16, 2019 ??08:05:27 UTC (6 months ago)",??61,189,
Prime World: Defenders 2,Nival,Nival,"November 29, 2018 ??13:29:08 UTC (about a year ago)",? 78,155,
Sonic Adventure DX,SEGA,SEGA,NULL,? 83,116,
VoiceAttack,VoiceAttack.com,VoiceAttack.com,"March 18, 2017 ??19:51:48 UTC (3 years ago)",??87,120,
Home Behind,TPP Studio,TPP Studio,"June 3, 2016 ??06:05:51 UTC (4 years ago)",? 83,135,
Hyperdimension Neptunia Re;Birth1,"IDEA FACTORY Co., Ltd.","Idea Factory International, Inc.","January 29, 2015 ??23:55:00 UTC (5 years ago)",? 92,99,
Iratus: Lord of the Dead,Unfrozen,Daedalic Entertainment,"July 24, 2019 ??15:58:32 UTC (6 months ago)",? 81,165,
Team Fortress Classic,Valve,Valve,"April 1, 1999 ??08:00:00 UTC (21 years ago)",? 81,104,
Animation Throwdown: The Quest for Cards,Synapse Games,Kongregate,"May 5, 2017 ??20:05:00 UTC (3 years ago)",? 69,154,
Catherine Classic,ATLUS,SEGA,"January 10, 2019 ??14:55:00 UTC (about a year ago)",? 85,101,
Movavi Video Suite,"Store Name Movavi Video Suite 17 - Video Making Software - Video Editor, Video Converter, Screen Capture, and more","Developer
Movavi","March 6, 2018 ??11:59:16 UTC (2 years ago)",? 76,139,
One Hour One Life,Jason Rohrer,Jason Rohrer,"November 8, 2018 ??19:00:23 UTC (about a year ago)",? 74,119,
Cattails,Store Name Cattails | Become a Cat!,"Developer
Falcon Development","December 1, 2017 ??14:58:08 UTC (2 years ago)",? 89,113,
Hexcells Infinite,Matthew Brown,Matthew Brown,"September 1, 2014 ??16:02:20 UTC (5 years ago)",? 92,122,
Pistol Whip,Cloudhead Games ltd.,Cloudhead Games ltd.,"November 7, 2019 ??17:58:34 UTC (2 months ago)",? 86,112,
Spec Ops: The Line,YAGER,2K,"June 29, 2012 ??17:00:00 UTC (8 years ago)",? 90,193,
Defense Grid: The Awakening,Hidden Path Entertainment,Hidden Path Entertainment,"December 8, 2008 ??21:00:00 UTC (11 years ago)",? 92,104,
Car Mechanic Simulator 2015,Red Dot Games,PlayWay S.A.,"April 2, 2015 ??05:41:00 UTC (5 years ago)",? 88,216,
Portal Stories: Mel,Prism Game Studios Ltd.,Prism Game Studios Ltd.,"June 25, 2015 ??15:31:00 UTC (5 years ago)",? 93,153,
BioShock,"Store Name BioShock??""Developer",,,,,
"2K Boston""","August 21, 2007 ??20:00:00 UTC (12 years ago)",? 92,120,,,
Serious Sam 3: BFE,Croteam,Devolver Digital,"November 22, 2011 ??18:30:00 UTC (8 years ago)",? 87,222,
Sunset Overdrive,Insomniac Games,Xbox Game Studios,"November 16, 2018 ??17:00:00 UTC (about a year ago)",? 87,105,
Book of Demons,Thing Trunk,Thing Trunk,"December 14, 2018 ??17:00:00 UTC (about a year ago)",? 90,163,
Realm Revolutions,Aleksandr Golovkin,Aleksandr Golovkin,NULL,??70,122,
Kingdom Rush Frontiers,Ironhide Game Studio,Ironhide Game Studio,"July 25, 2016 ??12:05:31 UTC (3 years ago)",? 91,138,
60 Seconds! Reatomized,Robot Gentleman,Robot Gentleman,"July 25, 2019 ??18:02:41 UTC (6 months ago)",? 90,131,
Space Rangers HD: A War Apart,SNK Games,1C Entertainment,"March 15, 2013 ??07:00:00 UTC (7 years ago)",? 91,252,
Dead or School,Store Name DEAD OR SCHOOL,"Developer
Studio Nanafushi","June 3, 2019 ??21:31:41 UTC (7 months ago)",? 84,110,
PIPE,Store Name PIPE by BMX Streets,"Developer
Mash Games","March 15, 2018 ??07:40:38 UTC (2 years ago)",? 87,253,
Train Valley 2,Alexey Davydov,Flazm,"April 15, 2019 ??15:37:01 UTC (9 months ago)",? 86,153,
NASCAR Heat 4,Monster Games,704 Games Company,"September 13, 2019 ??14:13:27 UTC (4 months ago)",??76,113,
Time Warpers,Proton Studio Inc,Proton Studio Inc,"November 2, 2018 ??19:00:26 UTC (about a year ago)",??84,105,
NOBUNAGA'S AMBITION: Tenshouki WPK HD Version,Store Name NOBUNAGA'S AMBITION: Tenshouki WPK HD Version / 信長??��?�・天翔�?with ?�ワ?�ア?�プ??��??HD Version,"Developer
KOEI TECMO GAMES CO., LTD.","November 11, 2015 ??15:23:00 UTC (4 years ago)",??44,102,
Cube World,Picroma,Picroma,"September 30, 2019 ??15:59:00 UTC (3 months ago)",? 41,145,
"Warhammer 40,000: Space Marine",Relic Entertainment,SEGA,NULL,? 88,206,
Defiance,Trion Worlds,Trion Worlds,"June 4, 2014 (6 years ago)",? 74,126,
LEGO® The Lord of the Rings??Traveller's Tales,Warner Bros. Interactive Entertainment,NULL,? 85,249,,
Bastion,Supergiant Games,Supergiant Games,"August 16, 2011 ??17:00:00 UTC (8 years ago)",? 94,107,
Reign of Darkness,Unorthodox Studio,Unorthodox Studio,"November 20, 2019 ??16:00:47 UTC (2 months ago)",??80,91,
Spec Ops: The Line,YAGER,2K,"June 29, 2012 ??17:00:00 UTC (8 years ago)",? 90,193,
Alan Wake,Remedy Entertainment,Remedy Entertainment,NULL,? 89,141,
Bastion,Supergiant Games,Supergiant Games,"August 16, 2011 ??17:00:00 UTC (8 years ago)",? 94,107,
Trine,Store Name Trine Enchanted Edition,"Developer
Frozenbyte","July 2, 2009 ??07:00:00 UTC (11 years ago)",? 93,211,
Sunset Overdrive,Insomniac Games,Xbox Game Studios,"November 16, 2018 ??17:00:00 UTC (about a year ago)",? 87,105,
Tanki Online,Tanki Online Ltd.,APL Publishing Ltd.,"March 2, 2017 ??11:43:05 UTC (3 years ago)",? 61,126,
STAR WARS??Rebellion,Coolhand Interactive,LucasArts,"March 1, 2016 ??17:00:00 UTC (4 years ago)",? 80,109,
Zeus + Poseidon,Impressions Games,Activision,"December 15, 2016 ??17:00:00 UTC (3 years ago)",??86,121,
Mythgard,Rhino Games Inc,Rhino Games Inc,"September 19, 2019 ??00:05:00 UTC (4 months ago)",? 83,117,
RPG Maker XP,KADOKAWA,Degica,"December 13, 2013 ??18:02:43 UTC (6 years ago)",??83,118,
The Incredible Adventures of Van Helsing,NeocoreGames,NeocoreGames,"May 22, 2013 ??15:34:00 UTC (7 years ago)",? 80,107,
Heat Signature,Suspicious Developments,Suspicious Developments,"September 21, 2017 ??16:58:48 UTC (2 years ago)",? 90,119,
Kingdom Rush,Ironhide Game Studio,Ironhide Game Studio,"January 6, 2014 ??18:14:00 UTC (6 years ago)",? 93,117,
